#,Mod名,文件名,端,可选,下载源,下载链接,GitHub,说明
117,撅电报,cc_ms-neoforge-26.1.2-0.1.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cc-ms/cc-ms-10.jar,,撅电报 by CC2001 / Build #10 / 给蹲起加点声音😁 /  / 介绍：https://github.com/C20C01/MorSneak/blob/master/README.m
118,收获：遗产,harvestheritage-1.3.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-harvestheritage/harvestheritage-63.jar,,"收获：遗产 by 默默的摸鱼 / Build #63 / ""我很敬佩第一个从草里打出种子的人——说不定那是小麦种子呢。"" / 当人们第一次从草丛中收获小麦种子时，可曾想过：真的只有小麦种子吗？将种子播"
119,方块小镇,yuushya-26.1-neoforge-2.3.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-yuushya/yuushya-69.jar,,方块小镇 by 方块小镇制作组 / Build #69 / Yuushya是一个结合Mod与材质的建筑系列。 /  / 使用Yuushya系列，你可以建造出惟妙惟肖，生动且真实的小镇景观。驻足于街坊市
120,方块建模,yuushya_modelling-26.1.2-2.4.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-yuushya-modelling/yuushya-modelling-36.jar,,方块建模 by 方块建模制作组 / Build #36 / 方块建模模组允许你将任意普通方块转化为模组特殊的轻量实体格式”实体方块“，并提供了许多工具控制此特殊实体方块的位移、旋转等属性。是一个建筑辅
121,方生未逝,living_unvanished-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-living-unvanished/living-unvanished-8.jar,,方生未逝 by 紫剑重工 / Build #8 / 「只要不被遗忘，它们就没有真正灭绝」 / 玩家穿行方块世界，探寻埋藏化石的泥潭古迹，寻访散落各地的文献手记，拼凑毛里求斯蓝鸠、袋狼等物种失落的过往。
122,无穷桌游,infinite_board_games-0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-infinite-board-games/infinite-board-games-5.jar,,无穷桌游 by MaxPixel Studios Development ∞ / Build #5 / 五子棋的精神续作。旨在提供一个强大的数据驱动API，使任何人都可以在Minecraft中实现他们
123,无限地牢（Dungeon-Infinity）,dungeon_infinity-26.1.2.4+teacon.52.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-dungeon-infinity/dungeon-infinity-40.jar,,无限地牢（Dungeon-Infinity） by 莱特兰 / Build #40 / 以原版试炼为思路，限制方块交互，融合Roguelike随机迷宫和其他模组联动，带来无尽探险乐趣和丰厚奖励。
124,更多交互,extra_interaction-1.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-extra-interaction/extra-interaction-13.jar,,更多交互 by 噶了给墓高寿 / Build #13 / 按下F与方块或实体进行交互！
125,更多的食物,a-better-foods-neoforge-1.3.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-a-better-foods/a-better-foods-10.jar,,更多的食物 by CatPixel Craft / Build #10 / 模组为游戏增添了丰富的美食体验，从经典的甜点到世界各地的特色佳肴。
126,更好的打雪仗3：重铸版,bsf3lite-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-bsf3lite/bsf3lite-41.jar,,更好的打雪仗3：重铸版 by 打雪仗工具批发商 / Build #41 / 什么叫做你在雪球里塞石头？什么叫做你在雪球里塞黑洞？什么，没有黑洞了？好吧，也许我们之前在研发的路上一去不复返了，现在是时候
127,更好的鱼竿,betterrod-1.0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-better-rod/better-rod-9.jar,,更好的鱼竿 by wither123 / Build #9 / Minecraft的鱼竿只能勾住单个实体或者钓鱼，但如果它还能干点别的呢？这个mod通过各种钓鱼配件，允许其移动方块，进行攻击等种种玩法
128,最后的上勾拳 One Last Rising Uppercut,olru-0.0.1-alpha.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-olru/olru-20.jar,,最后的上勾拳 One Last Rising Uppercut by 安娜 / Build #20 / 亲爱的，我们再也回不到那个夏天。
129,本机正常,womm-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-womm/womm-28.jar,,本机正常 by 核马先生 / Build #28 / WorksOnMyMachine（本机正常）允许服务器将玩家无缝转移至客户端本地世界中运行的实例空间。
130,来自深渊：弹药包,cartridge-1.1.2.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cartridge/cartridge-32.jar,,来自深渊：弹药包 by Chlamydomonos / Build #32 / 将《来自深渊》中臭名昭著（不）的弹药包（以及上升诅咒系统）加入Minecraft。
131,枢革墟烬,magic_io-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-magic-io/magic-io-30.jar,,枢革墟烬 by 造爻栈 / Build #30 / ——爻动天地，枢革墟烬 /  / 又名：壁砾结chain（乐） /  / 当世界以元素之眼重铸，你将如何从零起步，建起崭新的文明？ /  / 以四大
132,树脂枪,resin_gun-neoforge-26.1.2-0.0.1+build.12.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-resin-gun/resin-gun-12.jar,,树脂枪 by 16-Bit Samurai / Build #12 / 为原版【树脂】添加了新的配方和增加了新的非致命远程武器【树脂枪】，玩家可以使用【树脂团】和【玻璃瓶】合成出【凝胶弹】，将【凝胶弹
