#,Mod名,文件名,端,下载源,下载链接
102,更多的食物,a-better-foods-neoforge-1.3.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-a-better-foods/a-better-foods-10.jar
103,更好的打雪仗3：重铸版,bsf3lite-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-bsf3lite/bsf3lite-41.jar
104,更好的鱼竿,betterrod-1.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-better-rod/better-rod-9.jar
105,最后的上勾拳 One Last Rising Uppercut,olru-0.0.1-alpha.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-olru/olru-20.jar
106,本机正常,womm-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-womm/womm-28.jar
107,来自深渊：弹药包,cartridge-1.1.2.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cartridge/cartridge-32.jar
108,枢革墟烬,magic_io-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-magic-io/magic-io-30.jar
109,泰拉巨石,terraria_boulders-1.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-terraria-boulders/terraria-boulders-23.jar
110,海瑞的连锁挖矿,dh_s_veinminer-1.0.13.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-dh-s-veinminer/dh-s-veinminer-26.jar
111,深岩银河激光指示器,drglaserpointer-1.2.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-drglaserpointer/drglaserpointer-57.jar
112,混沌炼金,transmutatoria-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-transmutatoria/transmutatoria-95.jar
113,纸带八音盒,cc_mb-neoforge-26.1.2-0.5.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cc-mb/cc-mb-57.jar
114,织影落花,shadowsandpetals-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-shadowsandpetals/shadowsandpetals-129.jar
115,网络音乐机：听听B站,net_music_can_play_bili-0.7.10-beta.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-net-music-can-play-bili/net-music-can-play-bili-92.jar
116,美食世界-Delicacy'World,delicacyworld-0.4.03.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-delicacyworld/delicacyworld-145.jar
117,群青,ultramarine-0.8-snapshot.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-ultramarine/ultramarine-13.jar
118,联界门,link_portals-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-link-portals/link-portals-23.jar
